Algorithm Results:

Edmonds-Karp Algorithm
Edge Flows:
0 25 38
0 32 13
0 36 5
1 19 0
1 40 0
1 35 0
1 47 0
1 41 0
2 49 0
2 25 0
2 4 0
2 26 0
3 20 0
3 48 0
3 38 0
3 22 0
3 42 0
4 9 0
4 42 0
4 29 0
4 18 0
5 8 0
5 34 0
5 37 0
6 22 0
6 29 0
7 38 0
7 42 0
7 27 0
7 31 0
8 26 0
9 38 0
9 22 0
10 33 0
10 11 0
11 27 0
11 37 0
11 29 0
11 45 0
11 47 0
11 12 0
12 24 0
12 35 0
12 13 0
12 46 0
12 43 0
13 18 0
13 17 0
14 41 0
14 42 0
14 31 0
14 45 0
14 20 0
14 18 0
14 33 0
15 41 0
15 22 0
15 49 0
15 30 0
15 18 0
15 27 0
16 27 0
16 18 0
16 33 0
16 37 0
17 38 0
18 40 0
18 39 0
18 28 0
18 48 0
18 47 0
19 40 0
19 23 0
19 34 0
20 34 0
20 31 0
20 21 0
20 40 0
20 39 0
21 49 0
21 29 0
21 42 0
21 39 0
22 32 0
22 35 0
22 38 0
22 24 0
22 26 0
22 40 0
23 27 0
23 41 0
24 28 0
24 30 0
24 35 0
24 46 0
25 34 10
25 46 28
25 26 0
25 27 0
26 43 0
27 46 0
27 38 0
27 37 0
28 44 0
28 48 0
28 45 0
29 41 0
29 36 0
29 39 0
29 34 0
29 37 0
30 39 0
30 42 0
30 43 0
30 34 0
30 49 0
31 47 0
31 38 0
31 39 0
32 43 6
32 38 4
32 33 3
32 45 0
33 40 0
33 42 1
33 35 2
34 39 0
34 43 10
34 38 0
35 47 0
35 43 0
35 38 0
35 39 0
35 49 2
36 47 5
36 38 0
36 42 0
37 46 0
38 48 1
38 44 3
38 39 0
39 45 0
39 41 0
39 44 0
39 40 0
40 42 0
40 48 0
41 45 0
41 46 0
41 44 0
42 49 1
42 47 0
42 48 0
42 45 0
43 46 0
43 47 0
43 45 0
43 49 16
44 49 3
44 45 0
45 47 0
45 46 0
46 47 9
46 48 19
47 48 0
47 49 14
48 49 20

Total Flow: 56
Execution Time: 0.0 seconds

Push-Relabel Algorithm
Edge Flows:
0 25 38
0 32 13
0 36 5
25 26 23
25 27 8
25 34 1
25 46 6
26 43 23
27 37 7
27 46 1
32 33 13
33 40 13
34 39 1
36 38 5
37 46 7
38 44 5
39 45 1
40 42 5
40 48 8
42 49 5
43 47 7
43 49 16
44 45 4
44 49 1
45 47 5
46 47 14
47 48 12
47 49 14
48 49 20

Maximum Flow: 56
Execution Time: 0.000000 seconds
