Edge Flows:
0 1 6
0 74 20
0 30 5
1 71 0
1 33 0
1 4 0
1 2 6
2 3 0
2 99 6
3 4 0
3 89 0
4 5 0
4 41 0
4 54 0
4 14 0
5 6 0
6 51 0
6 7 0
6 90 0
6 98 0
7 8 0
7 49 0
7 50 0
7 30 0
7 34 0
7 68 0
8 9 0
8 72 0
8 71 0
9 10 0
9 65 0
9 90 0
10 11 0
10 68 0
11 63 0
11 17 0
11 72 0
11 12 0
12 51 0
12 13 0
12 31 0
12 54 0
13 60 0
13 81 0
13 14 0
14 15 0
14 92 0
14 83 0
14 16 0
14 87 0
15 16 0
15 18 0
16 61 0
16 17 0
16 83 0
17 78 0
17 60 0
17 18 0
17 85 0
18 46 0
18 61 0
18 74 0
18 66 0
18 19 0
18 42 0
19 20 0
20 72 0
20 21 0
20 68 0
20 41 0
21 40 0
21 76 0
21 74 0
21 22 0
22 23 0
22 29 0
22 67 0
23 24 0
23 78 0
23 65 0
24 25 0
24 86 0
24 29 0
25 26 0
25 81 0
26 27 0
27 28 0
27 41 0
28 53 0
28 56 0
28 29 0
29 35 0
29 30 0
29 61 0
29 86 0
30 31 5
31 99 5
31 32 0
31 72 0
32 70 0
32 33 0
32 75 0
33 34 0
33 45 0
33 75 0
33 49 0
34 97 0
34 58 0
34 35 0
34 71 0
35 69 0
35 46 0
35 36 0
35 58 0
36 37 0
36 89 0
37 57 0
37 56 0
37 38 0
37 83 0
37 68 0
38 39 0
38 66 0
39 87 0
39 40 0
40 60 0
40 47 0
40 41 0
40 62 0
40 58 0
40 55 0
41 68 0
41 80 0
41 42 0
41 92 0
41 63 0
41 98 0
42 43 0
43 44 0
44 95 0
44 45 0
45 53 0
45 81 0
45 46 0
46 70 0
46 58 0
46 50 0
46 47 0
47 60 0
47 48 0
48 83 0
48 95 0
48 49 0
48 81 0
48 57 0
49 86 0
49 50 0
49 57 0
50 51 0
50 87 0
50 54 0
50 66 0
51 99 0
51 74 0
51 52 0
52 53 0
53 66 0
53 54 0
54 84 0
54 55 0
54 86 0
55 65 0
55 56 0
56 57 0
56 96 0
57 78 0
57 58 0
57 63 0
58 59 0
59 60 0
60 89 0
60 66 0
60 94 0
60 88 0
60 61 0
60 85 0
61 95 0
61 77 0
61 62 0
61 72 0
62 98 0
62 63 0
63 76 0
63 95 0
63 90 0
63 64 0
64 84 0
64 65 0
64 75 0
65 91 0
65 66 0
66 70 0
66 67 0
66 68 0
67 68 0
67 92 0
67 85 0
68 76 0
68 88 0
68 75 0
68 71 0
68 69 0
69 70 0
70 71 0
70 79 0
70 85 0
71 72 0
71 79 0
72 93 0
72 79 0
72 73 0
73 81 0
73 74 0
74 91 1
74 75 4
74 80 15
75 76 4
76 77 4
76 91 0
76 79 0
77 88 0
77 78 4
77 87 0
78 79 0
78 99 4
79 83 0
79 80 0
79 86 0
80 81 15
80 85 0
81 89 15
81 82 0
82 83 0
82 91 0
83 84 0
83 94 0
84 85 0
84 93 0
84 90 0
85 89 0
85 86 0
86 87 0
86 95 0
86 89 0
86 96 0
87 88 0
88 90 0
88 89 0
88 95 0
89 97 0
89 98 0
89 90 0
89 91 0
89 99 15
90 97 0
90 91 0
91 94 1
91 92 0
91 96 0
91 95 0
92 93 0
93 95 0
93 94 0
93 97 0
94 98 1
94 95 0
95 97 0
95 98 0
95 96 0
96 97 0
96 98 0
97 98 0
97 99 0
98 99 1

Total Flow: 31
Execution Time: 0.000000 seconds
