Edge Flows:
0 1 6
0 74 20
0 30 9
1 0 0
1 71 6
1 33 0
1 4 0
1 2 0
2 3 0
2 99 0
2 1 0
3 4 0
3 2 0
3 89 0
4 5 0
4 3 0
4 41 0
4 1 0
4 54 0
4 14 0
5 4 0
5 6 0
6 51 0
6 7 0
6 90 0
6 98 0
6 5 0
7 8 0
7 49 0
7 6 0
7 50 0
7 30 0
7 34 0
7 68 0
8 7 0
8 9 0
8 72 0
8 71 0
9 8 0
9 10 0
9 65 0
9 90 0
10 9 0
10 11 0
10 68 0
11 63 0
11 17 0
11 10 0
11 72 0
11 12 0
12 51 0
12 13 0
12 31 0
12 54 0
12 11 0
13 60 0
13 12 0
13 81 0
13 14 0
14 15 0
14 92 0
14 83 0
14 4 0
14 16 0
14 87 0
14 13 0
15 14 0
15 16 0
15 18 0
16 61 0
16 15 0
16 17 0
16 83 0
16 14 0
17 78 0
17 11 0
17 60 0
17 16 0
17 18 0
17 85 0
18 46 0
18 61 0
18 74 0
18 66 0
18 15 0
18 19 0
18 17 0
18 42 0
19 20 0
19 18 0
20 72 0
20 21 0
20 68 0
20 19 0
20 41 0
21 40 0
21 76 0
21 74 0
21 20 0
21 22 0
22 23 0
22 21 0
22 29 0
22 67 0
23 24 0
23 22 0
23 78 0
23 65 0
24 23 0
24 25 0
24 86 0
24 29 0
25 24 0
25 26 0
25 81 0
26 25 0
26 27 0
27 28 0
27 26 0
27 41 0
28 27 0
28 53 0
28 56 0
28 29 0
29 35 0
29 30 0
29 61 0
29 28 0
29 22 0
29 24 0
29 86 0
30 0 0
30 7 0
30 29 0
30 31 5
31 99 5
31 12 0
31 32 0
31 30 0
31 72 0
32 70 0
32 33 0
32 31 0
32 75 0
33 34 0
33 45 0
33 75 0
33 1 0
33 32 0
33 49 0
34 33 0
34 7 0
34 97 0
34 58 0
34 35 0
34 71 0
35 69 0
35 46 0
35 29 0
35 36 0
35 34 0
35 58 0
36 37 0
36 35 0
36 89 0
37 36 0
37 57 0
37 56 0
37 38 0
37 83 0
37 68 0
38 39 0
38 66 0
38 37 0
39 38 0
39 87 0
39 40 0
40 21 0
40 60 0
40 47 0
40 41 0
40 62 0
40 58 0
40 55 0
40 39 0
41 68 0
41 80 0
41 42 0
41 4 0
41 92 0
41 63 0
41 40 0
41 27 0
41 98 0
41 20 0
42 43 0
42 41 0
42 18 0
43 42 0
43 44 0
44 95 0
44 43 0
44 45 0
45 33 0
45 53 0
45 81 0
45 44 0
45 46 0
46 18 0
46 35 0
46 70 0
46 58 0
46 45 0
46 50 0
46 47 0
47 60 0
47 40 0
47 48 0
47 46 0
48 83 0
48 95 0
48 49 0
48 81 0
48 47 0
48 57 0
49 86 0
49 7 0
49 50 0
49 48 0
49 33 0
49 57 0
50 51 0
50 87 0
50 49 0
50 7 0
50 54 0
50 46 0
50 66 0
51 6 0
51 12 0
51 50 0
51 99 0
51 74 0
51 52 0
52 53 0
52 51 0
53 52 0
53 45 0
53 28 0
53 66 0
53 54 0
54 84 0
54 55 0
54 12 0
54 50 0
54 86 0
54 4 0
54 53 0
55 54 0
55 65 0
55 56 0
55 40 0
56 28 0
56 37 0
56 55 0
56 57 0
56 96 0
57 78 0
57 37 0
57 49 0
57 58 0
57 56 0
57 63 0
57 48 0
58 46 0
58 34 0
58 40 0
58 35 0
58 57 0
58 59 0
59 60 0
59 58 0
60 89 0
60 66 0
60 47 0
60 40 0
60 94 0
60 13 0
60 59 0
60 88 0
60 17 0
60 61 0
60 85 0
61 18 0
61 95 0
61 77 0
61 62 0
61 16 0
61 29 0
61 60 0
61 72 0
62 98 0
62 61 0
62 40 0
62 63 0
63 11 0
63 76 0
63 41 0
63 95 0
63 90 0
63 62 0
63 64 0
63 57 0
64 84 0
64 65 0
64 63 0
64 75 0
65 91 0
65 55 0
65 64 0
65 9 0
65 66 0
65 23 0
66 60 0
66 53 0
66 70 0
66 38 0
66 18 0
66 67 0
66 65 0
66 68 0
66 50 0
67 68 0
67 92 0
67 85 0
67 66 0
67 22 0
68 41 0
68 76 0
68 67 0
68 88 0
68 75 0
68 7 0
68 20 0
68 66 0
68 71 0
68 37 0
68 69 0
68 10 0
69 35 0
69 70 0
69 68 0
70 71 0
70 32 0
70 79 0
70 69 0
70 46 0
70 85 0
70 66 0
71 70 0
71 1 0
71 72 6
71 8 0
71 79 0
71 34 0
71 68 0
72 20 0
72 71 0
72 93 0
72 79 0
72 8 0
72 61 0
72 11 0
72 73 6
72 31 0
73 81 6
73 74 0
73 72 0
74 0 0
74 21 0
74 91 1
74 51 0
74 18 0
74 73 0
74 75 15
74 80 4
