Algorithm Results:

Edmonds-Karp Algorithm
Edge Flows:
0 51 974
0 31 968
0 33 915
0 53 904
0 29 913
0 21 945
0 82 933
0 5 951
0 18 917
0 85 916
0 32 927
0 12 976
0 45 1000
0 9 925
0 39 953
0 7 991
0 84 960
0 80 953
0 3 980
0 77 929
0 49 997
0 98 992
0 55 914
0 65 963
0 38 955
0 27 936
0 72 980
0 11 951
0 30 942
0 64 934
0 41 978
0 97 995
0 48 994
0 35 902
0 60 946
0 79 959
0 56 966
0 52 932
0 68 931
0 13 991
0 17 970
0 90 954
0 91 919
0 8 912
0 43 973
0 69 905
0 81 955
0 63 939
0 74 941
0 1 975
0 47 969
0 54 976
0 24 935
0 95 995
0 44 940
0 26 999
0 58 969
0 6 940
0 73 939
0 61 983
0 14 917
0 75 914
0 34 980
0 88 978
0 37 923
0 10 914
0 20 955
0 86 900
0 67 914
0 57 976
0 62 911
0 50 955
0 70 942
0 28 917
0 87 953
0 15 960
0 19 939
0 76 930
0 83 987
0 96 917
0 78 984
0 46 920
0 66 987
0 89 900
0 4 941
0 40 961
0 23 908
0 2 979
0 42 926
0 93 977
0 94 950
0 59 947
0 25 999
0 22 948
0 16 971
0 71 934
0 99 982
0 36 953
0 92 979
1 99 933
1 57 0
1 76 4
1 35 38
2 56 20
2 99 956
2 10 53
2 24 50
3 57 0
3 99 901
3 32 120
4 87 0
4 55 0
4 41 0
4 99 985
4 60 0
5 99 910
5 3 41
6 48 0
6 99 991
6 22 0
6 45 0
6 89 0
7 73 57
7 52 0
7 66 0
7 89 25
7 99 912
8 10 0
8 77 12
8 82 0
8 99 935
9 47 0
9 99 980
10 82 55
10 99 912
10 69 0
11 99 951
11 5 0
12 82 42
12 99 934
12 60 0
13 41 71
13 99 934
14 99 987
14 87 0
14 53 0
15 53 0
15 43 11
15 99 966
16 10 0
16 14 7
16 44 83
16 9 20
16 99 953
17 99 920
17 27 50
17 41 0
18 99 970
18 57 0
19 5 0
19 56 4
19 99 949
20 84 0
20 99 997
20 8 35
21 99 927
21 4 18
21 17 0
22 7 3
22 15 17
22 99 928
23 99 969
23 97 36
23 83 0
23 19 0
24 48 0
24 99 985
25 80 0
25 20 77
25 99 982
26 96 104
26 99 910
27 47 0
27 10 0
27 61 11
27 99 985
28 99 917
29 15 0
29 99 985
29 66 0
30 99 957
30 98 0
30 80 0
30 71 66
30 53 0
31 99 1000
31 70 64
32 75 0
32 43 18
32 99 911
32 94 31
32 65 140
33 46 0
33 50 0
33 26 0
33 99 919
34 74 6
34 99 974
34 37 0
34 19 0
35 25 0
35 99 965
35 48 0
35 53 0
35 94 0
35 88 0
36 83 0
36 99 992
36 25 60
37 64 0
37 99 982
38 55 32
38 99 1000
38 14 0
38 80 0
39 99 930
39 35 23
39 60 32
39 14 0
39 64 0
40 99 968
40 95 0
40 29 72
40 7 0
41 90 97
41 99 952
42 99 926
43 63 0
43 30 59
43 38 77
43 99 978
44 4 26
44 99 997
45 82 17
45 99 983
46 45 0
46 50 22
46 99 972
46 95 0
46 65 0
46 44 0
47 99 955
47 13 14
48 39 28
48 99 973
48 43 112
49 59 0
49 87 19
49 99 902
49 31 96
50 99 904
50 75 0
50 6 51
50 5 0
50 85 58
51 99 983
51 75 0
52 19 14
52 99 918
53 99 904
54 99 996
54 52 0
55 32 0
55 99 946
55 75 0
55 87 0
56 27 10
56 48 24
56 99 956
57 99 913
57 14 63
58 78 13
58 23 51
58 99 958
59 99 921
59 95 26
59 32 0
60 24 0
60 14 0
60 99 983
61 99 943
61 36 41
61 1 0
61 9 35
62 99 975
62 45 0
63 99 939
64 99 934
65 40 79
65 49 20
65 99 958
65 23 46
65 68 0
66 84 0
66 99 934
66 58 53
67 76 0
67 99 914
68 99 932
69 99 905
70 54 20
70 99 996
71 99 1000
71 94 0
72 99 975
72 60 5
73 37 59
73 89 0
73 99 937
73 90 0
73 56 0
73 1 0
73 80 0
74 38 0
74 99 947
74 96 0
74 15 0
74 45 0
75 99 903
75 61 25
76 99 902
76 35 0
76 16 32
77 11 0
77 83 0
77 6 0
77 99 941
78 6 0
78 84 0
78 92 0
78 99 997
79 99 955
79 92 0
79 39 4
80 99 932
80 91 12
80 51 9
81 99 955
81 57 0
82 18 53
82 99 994
83 99 930
83 2 100
84 32 9
84 13 0
84 99 947
84 33 4
85 96 0
85 75 0
85 99 974
86 9 0
86 89 0
86 99 900
87 68 1
87 99 971
88 99 942
88 52 0
88 30 22
88 75 14
89 99 915
89 70 10
89 94 0
89 96 0
89 90 0
90 99 956
90 48 95
90 76 0
91 99 916
91 26 15
92 56 0
92 46 74
92 27 0
92 99 905
93 99 933
93 32 44
94 36 34
94 99 947
95 41 0
95 16 60
95 3 0
95 99 961
96 99 933
96 62 64
96 36 24
97 99 993
97 5 0
97 50 36
97 35 2
98 99 949
98 83 43

Total Flow: 94104
Execution Time: 0.008525371551513672 seconds

Push-Relabel Algorithm
94111
