Algorithm Results:

Edmonds-Karp Algorithm
Edge Flows:
0 63 935
0 66 980
0 29 576
0 62 969
0 25 635
0 49 834
0 42 52
0 31 953
0 41 994
0 57 868
0 18 903
0 1 742
0 23 557
0 61 559
0 81 581
0 44 803
0 40 987
0 47 901
0 84 522
0 10 991
0 68 479
0 88 585
0 77 854
0 56 872
0 4 957
0 71 395
0 16 412
0 50 919
0 37 985
0 80 910
0 78 985
0 85 590
0 2 504
0 82 969
0 97 976
0 13 1000
0 64 902
0 36 989
0 6 274
0 90 913
0 33 927
0 73 80
0 59 957
0 9 974
0 89 2
0 52 787
0 51 958
0 26 599
0 48 396
0 75 901
0 86 928
0 99 965
0 65 762
0 69 951
0 39 190
0 43 151
0 12 947
0 87 621
0 45 872
0 92 96
0 70 944
0 14 903
0 21 696
0 93 598
0 54 952
0 95 962
0 38 822
0 19 172
0 74 916
0 3 171
0 58 940
0 7 974
0 91 955
0 72 955
0 79 318
0 76 516
0 11 966
0 94 991
0 8 153
0 34 764
0 67 978
0 22 171
0 24 896
0 15 25
0 60 916
0 100 979
0 17 90
0 53 903
0 5 373
1 107 742
2 113 504
3 59 167
3 191 4
4 66 717
4 167 240
5 136 215
5 177 158
6 192 274
7 155 491
7 178 616
8 150 153
9 170 631
9 103 343
10 183 504
10 91 487
11 130 731
11 69 235
12 80 346
12 188 371
12 183 402
13 133 834
13 148 562
14 119 817
14 156 86
15 195 25
16 114 412
17 157 90
18 78 526
18 117 568
18 112 386
19 12 172
21 116 99
21 108 597
22 121 171
23 192 557
24 7 96
24 135 800
25 104 635
26 154 599
29 47 182
29 153 394
31 129 28
31 149 925
33 160 181
33 175 746
34 139 764
36 136 989
37 160 481
37 103 167
37 127 337
38 102 373
38 67 449
39 166 94
39 97 96
40 7 37
40 163 835
40 143 115
41 170 639
41 135 625
42 132 52
43 189 151
44 133 173
44 51 222
44 190 408
45 108 374
45 169 472
45 149 26
47 178 236
47 69 847
48 13 396
49 108 21
49 187 156
49 165 326
49 144 331
50 134 509
50 180 808
51 127 196
51 164 762
51 106 222
52 154 254
52 58 180
52 103 353
53 111 725
53 50 308
53 195 392
54 101 957
54 117 419
54 105 174
56 82 48
56 103 824
57 196 868
58 193 825
58 72 223
58 129 72
59 171 370
59 163 754
60 107 815
60 141 133
61 195 559
62 185 150
62 129 123
62 100 236
62 193 575
62 184 121
63 117 69
63 153 866
64 129 861
64 170 41
65 120 762
66 116 290
66 181 557
66 115 852
67 132 490
67 169 441
67 154 105
67 145 854
68 159 479
69 139 177
69 128 502
69 161 292
69 133 868
69 172 541
70 146 212
70 141 732
71 110 148
71 142 247
72 187 134
72 175 148
72 191 71
72 177 825
73 141 80
74 166 569
74 69 347
75 144 655
75 149 246
76 104 516
77 185 584
77 41 270
78 184 841
78 131 670
79 136 318
80 134 6
80 91 441
80 194 809
81 122 581
82 175 431
82 190 586
84 53 522
85 152 590
86 132 253
86 18 204
86 188 471
87 192 424
87 170 129
87 166 68
88 189 585
89 66 2
90 157 616
90 142 809
91 105 106
91 176 180
91 164 811
91 182 892
92 99 96
93 54 598
94 161 631
94 132 360
95 194 138
95 112 589
95 18 373
97 185 558
97 147 357
97 133 439
99 135 22
99 199 943
99 198 180
100 162 269
100 199 946
101 199 972
102 199 928
102 139 52
103 169 153
103 105 593
103 199 941
104 145 224
104 199 927
105 91 106
105 199 907
106 199 222
107 197 703
107 199 990
108 199 992
110 199 148
111 199 921
112 199 975
113 199 866
114 199 412
115 199 852
116 199 389
117 99 62
117 199 994
118 199 781
119 199 817
120 199 914
121 199 171
122 199 581
123 199 20
127 199 533
128 199 502
129 62 123
129 199 941
129 123 20
130 199 731
131 199 670
132 199 937
132 162 218
133 199 987
133 97 282
133 178 553
133 118 492
134 199 515
135 99 22
135 199 993
135 67 432
136 199 930
136 166 943
139 191 74
139 199 919
140 199 107
141 167 22
141 199 923
142 199 977
142 173 695
143 199 115
144 199 986
145 199 942
145 107 136
146 199 212
147 199 357
148 199 562
149 194 138
149 199 919
149 105 140
150 199 549
152 199 590
153 199 975
153 62 113
153 180 172
154 199 958
155 199 491
156 199 86
157 199 706
158 199 268
159 199 479
160 199 662
161 199 923
162 199 487
163 102 607
163 199 982
164 199 957
164 142 616
165 199 326
166 150 396
166 118 289
166 199 989
167 199 691
169 101 15
169 199 913
169 67 31
169 140 107
170 199 928
170 90 512
171 199 370
172 199 541
173 199 815
175 111 196
175 199 977
175 120 152
176 199 180
177 199 983
178 199 923
178 113 362
178 173 120
180 199 980
181 199 557
182 199 892
183 199 906
184 158 268
184 199 962
185 199 934
185 50 90
185 184 268
187 199 290
188 199 842
189 199 736
190 199 994
191 199 149
192 136 351
192 199 904
193 199 971
193 167 429
194 95 138
194 199 947
195 199 944
195 60 32
196 199 868
197 199 703
198 199 180

Total Flow: 63875
Execution Time: 0.020031452178955078 seconds

Push-Relabel Algorithm
Edge Flows:
79 136 318
190 58 796
60 192 96
0 63 203
169 101 458
160 138 321
178 199 923
0 66 909
192 136 351
155 199 491
1 31 501
26 56 311
164 199 957
45 108 374
0 29 927
188 199 842
4 66 717
24 7 175
12 80 429
54 101 514
67 80 29
1 107 742
0 62 969
82 58 205
172 199 541
134 150 432
69 139 177
60 107 815
20 47 554
72 187 134
163 102 607
97 185 558
179 174 12
75 144 693
110 157 148
65 120 762
137 167 20
99 199 943
128 199 502
18 78 816
178 113 362
55 24 162
71 110 148
0 27 588
76 104 516
152 199 590
131 158 477
178 14 120
139 191 926
111 199 921
12 188 371
57 196 868
66 116 290
0 25 635
106 113 73
86 132 253
56 82 567
84 53 960
0 49 411
49 108 21
0 42 602
14 119 817
159 199 594
174 199 12
135 199 993
0 31 953
0 55 920
34 139 764
0 41 994
53 111 725
18 117 568
190 199 994
44 133 173
60 141 133
141 167 253
180 51 6
127 199 533
166 150 334
0 57 965
186 199 15
0 18 903
25 104 635
67 132 490
26 154 599
132 199 937
154 199 958
138 109 321
2 75 256
0 32 937
0 1 971
0 23 788
38 102 373
72 175 286
77 185 584
114 184 412
50 134 509
33 160 181
47 178 236
72 191 71
2 55 180
110 187 655
0 81 294
103 53 127
117 99 62
30 5 148
78 184 859
169 199 913
32 43 119
42 70 339
37 160 481
153 199 975
0 44 909
45 169 472
31 129 28
41 170 639
103 169 753
9 170 450
73 141 80
165 199 326
80 134 6
48 61 559
104 145 224
49 187 156
0 40 950
184 158 517
67 169 253
0 47 248
104 199 927
112 179 12
124 199 656
0 84 376
175 111 851
33 175 650
177 199 845
44 88 106
0 10 887
0 68 779
0 88 479
75 149 953
103 105 466
33 50 96
111 110 655
14 156 206
82 175 431
0 56 972
52 154 254
87 192 328
119 124 614
69 128 502
37 103 471
193 199 971
134 199 83
30 76 532
166 118 351
175 199 977
117 199 994
88 189 585
52 58 676
58 103 584
118 160 492
0 4 957
121 199 171
86 18 204
160 189 228
37 53 128
180 199 980
94 161 631
97 147 357
190 105 233
189 199 964
191 118 48
8 150 153
170 199 928
62 100 614
44 51 222
0 16 997
94 132 360
0 50 919
129 183 181
123 137 20
160 162 137
67 154 105
156 199 206
0 37 793
21 116 99
141 175 692
131 199 465
52 103 332
102 199 928
0 80 910
193 167 322
105 199 907
68 159 479
42 92 211
0 78 985
39 166 94
44 190 408
194 47 596
11 130 731
112 199 673
153 62 113
190 37 192
87 170 556
0 85 433
45 149 134
0 2 940
99 198 180
191 199 953
0 82 969
145 199 942
51 127 196
0 97 976
49 68 556
3 59 326
40 163 835
133 199 987
0 13 774
65 70 438
100 162 647
135 67 432
139 186 15
0 64 805
143 159 115
0 36 992
195 199 944
97 133 157
5 136 215
196 199 868
0 6 790
162 199 918
71 142 247
67 60 128
81 122 581
93 54 959
0 90 667
64 1 189
140 199 107
115 199 852
56 103 716
58 193 825
23 63 231
7 155 491
176 199 180
0 33 927
0 73 999
39 97 96
50 180 814
22 121 171
49 165 326
29 47 89
0 59 933
0 9 634
0 89 73
0 52 926
0 51 958
70 146 212
145 107 136
198 199 180
57 70 97
13 133 724
0 26 910
166 199 989
147 199 357
74 166 569
27 75 588
13 148 562
0 48 521
19 48 557
40 143 115
41 135 631
167 199 835
100 199 946
107 197 703
87 166 68
31 149 776
76 36 16
0 75 901
139 199 55
0 86 928
187 199 945
113 199 939
29 153 895
74 69 375
0 99 965
0 65 981
0 69 951
183 199 906
66 181 557
28 81 287
171 199 370
0 39 190
31 75 3
0 43 251
70 71 395
0 20 554
79 52 60
0 12 241
51 164 813
18 112 96
54 117 419
48 1 142
82 190 897
0 87 655
80 91 553
51 106 177
184 199 962
0 45 980
61 195 559
58 72 223
6 192 274
59 13 135
108 29 57
120 199 993
16 34 585
91 176 180
173 199 788
