Graph Size,Density,Algorithm,Avg Cover Size,Avg Time (s)
100,0.01,Algorithm 1,45.2,0.0003990650177001953
100,0.01,Algorithm 2,54.0,0.0004001140594482422
100,0.01,Algorithm 3,25.0,0.00039987564086914064
100,0.01,Algorithm 4,30.0,0.00040001869201660155
100,0.05,Algorithm 1,80.4,0.0010006427764892578
100,0.05,Algorithm 2,80.0,0.001200389862060547
100,0.05,Algorithm 3,61.8,0.0011994361877441407
100,0.05,Algorithm 4,67.2,0.0012000560760498046
100,0.1,Algorithm 1,90.4,0.002201080322265625
100,0.1,Algorithm 2,87.0,0.0022001266479492188
100,0.1,Algorithm 3,78.8,0.002013874053955078
100,0.1,Algorithm 4,82.6,0.0019998073577880858
1000,0.01,Algorithm 1,908.0,0.11212482452392578
1000,0.01,Algorithm 2,964.0,0.09206886291503906
1000,0.01,Algorithm 3,769.0,0.09349336624145507
1000,0.01,Algorithm 4,827.4,0.10337181091308593
1000,0.05,Algorithm 1,980.0,0.5358707904815674
1000,0.05,Algorithm 2,987.0,0.5480350017547607
1000,0.05,Algorithm 3,943.2,0.5630343437194825
1000,0.05,Algorithm 4,960.0,0.607905101776123
1000,0.1,Algorithm 1,989.6,1.1209964275360107
1000,0.1,Algorithm 2,988.0,1.1502145767211913
1000,0.1,Algorithm 3,973.2,1.3501684188842773
1000,0.1,Algorithm 4,982.4,1.3296963691711425
